"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"COALINDIA","01-Jan-2014","30-Jan-2014","PE","320","0","0","0","36.8","0","27.55","0","0","-","0","0","292.2"
"COALINDIA","01-Jan-2014","26-Feb-2014","PE","320","0","0","0","47.45","0","28.55","0","0","-","0","0","292.2"
"COALINDIA","01-Jan-2014","27-Mar-2014","PE","320","0","0","0","37.45","0","29.55","0","0","-","0","0","292.2"
"COALINDIA","02-Jan-2014","30-Jan-2014","PE","320","0","0","0","36.8","0","35.9","0","0","-","0","0","283.15"
"COALINDIA","02-Jan-2014","26-Feb-2014","PE","320","0","0","0","47.45","0","36.4","0","0","-","0","0","283.15"
"COALINDIA","02-Jan-2014","27-Mar-2014","PE","320","0","0","0","37.45","0","37.15","0","0","-","0","0","283.15"
"COALINDIA","03-Jan-2014","30-Jan-2014","PE","320","0","0","0","36.8","0","41.05","0","0","-","0","0","277.6"
"COALINDIA","03-Jan-2014","26-Feb-2014","PE","320","0","0","0","47.45","0","41","0","0","-","0","0","277.6"
"COALINDIA","03-Jan-2014","27-Mar-2014","PE","320","0","0","0","37.45","0","41.4","0","0","-","0","0","277.6"
"COALINDIA","06-Jan-2014","30-Jan-2014","PE","320","0","0","0","36.8","0","42.25","0","0","-","0","0","276.3"
"COALINDIA","06-Jan-2014","26-Feb-2014","PE","320","0","0","0","47.45","0","41.85","0","0","-","0","0","276.3"
"COALINDIA","06-Jan-2014","27-Mar-2014","PE","320","0","0","0","37.45","0","42.05","0","0","-","0","0","276.3"
"COALINDIA","07-Jan-2014","30-Jan-2014","PE","320","0","0","0","36.8","0","43.2","0","0","-","0","0","275.35"
"COALINDIA","07-Jan-2014","26-Feb-2014","PE","320","0","0","0","47.45","0","42.5","0","0","-","0","0","275.35"
"COALINDIA","07-Jan-2014","27-Mar-2014","PE","320","0","0","0","37.45","0","42.45","0","0","-","0","0","275.35"
"COALINDIA","08-Jan-2014","30-Jan-2014","PE","320","0","0","0","36.8","0","31.55","0","0","-","0","0","288.8"
"COALINDIA","08-Jan-2014","26-Feb-2014","PE","320","0","0","0","47.45","0","33.5","0","0","-","0","0","288.8"
"COALINDIA","08-Jan-2014","27-Mar-2014","PE","320","0","0","0","37.45","0","35.4","0","0","-","0","0","288.8"
"COALINDIA","09-Jan-2014","30-Jan-2014","PE","320","0","0","0","36.8","0","25.95","0","0","-","0","0","295.65"
"COALINDIA","09-Jan-2014","26-Feb-2014","PE","320","0","0","0","47.45","0","28.85","0","0","-","0","0","295.65"
"COALINDIA","09-Jan-2014","27-Mar-2014","PE","320","0","0","0","37.45","0","31.3","0","0","-","0","0","295.65"
"COALINDIA","10-Jan-2014","30-Jan-2014","PE","320","0","0","0","36.8","0","31.4","0","0","-","0","0","288.95"
"COALINDIA","10-Jan-2014","26-Feb-2014","PE","320","0","0","0","47.45","0","33.55","0","0","-","0","0","288.95"
"COALINDIA","10-Jan-2014","27-Mar-2014","PE","320","0","0","0","37.45","0","35.6","0","0","-","0","0","288.95"
